epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,1.6494131088256836,0.177734375,1.6095948219299316
1,0.2060546875,1.6094505786895752,0.169921875,1.6088550090789795
2,0.2021484375,1.6093615293502808,0.357421875,1.6082953214645386
3,0.19921875,1.6089682579040527,0.162109375,1.6079212427139282
4,0.203125,1.608656406402588,0.171875,1.5967105627059937
5,0.2412109375,1.6065733432769775,0.419921875,1.601434588432312
6,0.2294921875,1.5910009145736694,0.337890625,1.5489091873168945
7,0.3369140625,1.5234723091125488,0.271484375,1.5930335521697998
8,0.29296875,1.5322455167770386,0.37109375,1.4821771383285522
9,0.3984375,1.4375102519989014,0.3125,1.467571496963501
10,0.4677734375,1.3100008964538574,0.52734375,1.2838988304138184
11,0.583984375,1.1245039701461792,0.494140625,1.2598206996917725
12,0.6337890625,1.0002410411834717,0.638671875,0.9213734269142151
13,0.6982421875,0.7792676687240601,0.71484375,0.7643910646438599
14,0.7119140625,0.7190882563591003,0.638671875,1.0218822956085205
15,0.7744140625,0.6525022387504578,0.78125,0.6685469150543213
16,0.76171875,0.6319016814231873,0.744140625,0.6814875602722168
17,0.81640625,0.5233249664306641,0.76171875,0.6624278426170349
18,0.8408203125,0.46135765314102173,0.8125,0.5921392440795898
19,0.8544921875,0.4467373788356781,0.708984375,0.8442363739013672
20,0.8623046875,0.42359355092048645,0.755859375,0.6404973864555359
21,0.892578125,0.36528319120407104,0.7578125,0.744916558265686
22,0.8984375,0.32104411721229553,0.80859375,0.5678118467330933
23,0.9072265625,0.3096330165863037,0.740234375,0.7858145236968994
24,0.92578125,0.2847702205181122,0.79296875,0.7776020765304565
25,0.9326171875,0.26340657472610474,0.771484375,0.695948600769043
26,0.9453125,0.20723232626914978,0.744140625,0.8394712209701538
27,0.9482421875,0.21054284274578094,0.771484375,0.835780143737793
28,0.943359375,0.20827235281467438,0.775390625,0.8889181017875671
29,0.95703125,0.16686417162418365,0.8203125,0.6601055860519409
30,0.9677734375,0.1463605761528015,0.796875,0.762014627456665
31,0.9736328125,0.13211564719676971,0.79296875,0.8071436882019043
32,0.953125,0.17914539575576782,0.796875,0.7282990217208862
0,0.078125,1.667635440826416,0.177734375,1.609740972518921
1,0.1953125,1.6094093322753906,0.162109375,1.6091991662979126
2,0.1884765625,1.6075931787490845,0.166015625,1.5965969562530518
3,0.1953125,1.5934937000274658,0.203125,1.5322492122650146
4,0.279296875,1.5799994468688965,0.26171875,1.5325446128845215
5,0.298828125,1.5563743114471436,0.275390625,1.5087851285934448
6,0.31640625,1.5357632637023926,0.302734375,1.4890360832214355
7,0.3642578125,1.488558053970337,0.259765625,1.480600118637085
8,0.3173828125,1.471030592918396,0.23046875,1.5259145498275757
9,0.3515625,1.464910864830017,0.36328125,1.3809341192245483
10,0.388671875,1.3766844272613525,0.47265625,1.3346952199935913
11,0.4130859375,1.3106094598770142,0.58203125,1.1759979724884033
12,0.5068359375,1.1375231742858887,0.59375,1.0377390384674072
13,0.6748046875,0.858411431312561,0.60546875,0.9423370361328125
14,0.6767578125,0.8348310589790344,0.69140625,0.8125745058059692
15,0.654296875,0.8330658674240112,0.677734375,0.6881664395332336
16,0.708984375,0.7176758050918579,0.720703125,0.7854562997817993
17,0.7177734375,0.6753503680229187,0.72265625,0.687778115272522
18,0.7587890625,0.6175868511199951,0.736328125,0.6781207919120789
19,0.7685546875,0.6119397878646851,0.779296875,0.6156274080276489
20,0.7724609375,0.6023426055908203,0.736328125,0.6251564025878906
21,0.7734375,0.5868616700172424,0.734375,0.6810144186019897
22,0.814453125,0.49386996030807495,0.771484375,0.535155177116394
23,0.8515625,0.4362759590148926,0.759765625,0.612753689289093
24,0.861328125,0.39723193645477295,0.802734375,0.5658230185508728
25,0.8818359375,0.3593105971813202,0.7890625,0.6062774658203125
26,0.8525390625,0.43890827894210815,0.7734375,0.6565922498703003
27,0.8369140625,0.4711250364780426,0.7890625,0.6113667488098145
28,0.890625,0.3556044101715088,0.8125,0.5480797290802002
29,0.919921875,0.29510682821273804,0.794921875,0.6146477460861206
30,0.916015625,0.28688284754753113,0.8359375,0.5089784860610962
31,0.921875,0.2601196765899658,0.8203125,0.5530012845993042
32,0.94140625,0.22229823470115662,0.796875,0.6245284080505371
33,0.94921875,0.20594781637191772,0.79296875,0.7332203984260559
34,0.9580078125,0.1747821569442749,0.80859375,0.6655793190002441
35,0.953125,0.17743061482906342,0.80859375,0.6762404441833496
36,0.9453125,0.1973099559545517,0.8125,0.6714474558830261
37,0.953125,0.17604956030845642,0.802734375,0.7195303440093994
0,0.087890625,2.297297239303589,0.173828125,1.6092950105667114
1,0.2060546875,1.6094021797180176,0.166015625,1.6093125343322754
2,0.19140625,1.609423279762268,0.150390625,1.608972430229187
3,0.2119140625,1.6094110012054443,0.16015625,1.6084413528442383
4,0.1953125,1.6094673871994019,0.16015625,1.6083635091781616
5,0.1943359375,1.6100258827209473,0.1796875,1.6036813259124756
6,0.1923828125,1.608569622039795,0.349609375,1.6035076379776
7,0.2109375,1.6037765741348267,0.365234375,1.5343949794769287
8,0.2470703125,1.5552632808685303,0.4296875,1.2883598804473877
9,0.2685546875,1.5834559202194214,0.169921875,1.6151127815246582
10,0.2001953125,1.609487771987915,0.1640625,1.618267297744751
11,0.2001953125,1.6091909408569336,0.154296875,1.6154223680496216
12,0.2138671875,1.5981836318969727,0.15234375,1.5832518339157104
13,0.259765625,1.5511231422424316,0.443359375,1.469771385192871
14,0.361328125,1.4419519901275635,0.533203125,1.025341510772705
15,0.3798828125,1.3221211433410645,0.49609375,1.0881444215774536
16,0.376953125,1.2330317497253418,0.501953125,0.9860044717788696
17,0.390625,1.1868159770965576,0.509765625,0.973868727684021
18,0.3916015625,1.169384479522705,0.5078125,0.9644590020179749
19,0.392578125,1.1645617485046387,0.5078125,0.9548581838607788
20,0.3876953125,1.1565594673156738,0.6015625,0.9478506445884705
21,0.3916015625,1.1497187614440918,0.5078125,0.9528355002403259
22,0.400390625,1.152348518371582,0.517578125,0.9508179426193237
23,0.3994140625,1.1528241634368896,0.525390625,0.9472987651824951
24,0.4111328125,1.1444191932678223,0.537109375,0.937313437461853
25,0.4375,1.1366301774978638,0.521484375,0.9543004631996155
26,0.46484375,1.1222885847091675,0.658203125,0.8992749452590942
27,0.5341796875,1.0634814500808716,0.529296875,1.072599172592163
28,0.46484375,1.16677987575531,0.57421875,0.9415801167488098
29,0.5341796875,1.1149240732192993,0.560546875,0.92974454164505
30,0.431640625,1.2391399145126343,0.564453125,1.0176242589950562
31,0.4765625,1.062753438949585,0.57421875,0.9170390367507935
32,0.5498046875,0.97951740026474,0.646484375,0.7788410782814026
33,0.580078125,0.8782147765159607,0.65234375,0.8044805526733398
34,0.564453125,0.9281584620475769,0.669921875,0.7651697993278503
0,0.1578776091337204,1.6246991157531738,0.203125,1.609395146369934
1,0.1966145783662796,1.6037484407424927,0.28125,1.5865118503570557
2,0.3616536557674408,1.4150007963180542,0.4330357015132904,1.2167500257492065
3,0.62109375,0.9937313199043274,0.675595223903656,0.8581897020339966
4,0.7259114384651184,0.7402090430259705,0.715029776096344,0.7439303398132324
5,0.791015625,0.5859919190406799,0.765625,0.7081082463264465
6,0.8466796875,0.4650851786136627,0.7946428656578064,0.649233877658844
7,0.8714192509651184,0.39544156193733215,0.7708333134651184,0.6954859495162964
8,0.8727213740348816,0.391643762588501,0.7872023582458496,0.666041374206543
9,0.9026692509651184,0.3000291883945465,0.7514880895614624,0.8523724675178528
10,0.9352213740348816,0.22211585938930511,0.7611607313156128,0.7872542142868042
11,0.9244791865348816,0.24067850410938263,0.7901785969734192,0.6966696381568909
12,0.9427083134651184,0.1951972097158432,0.7916666865348816,0.7880545258522034
13,0.9599609375,0.1413634866476059,0.7998511791229248,0.8041658997535706
14,0.9527994990348816,0.16366048157215118,0.805059552192688,0.7142913341522217
15,0.9677734375,0.12013726681470871,0.7172619104385376,1.2390650510787964
16,0.9596354365348816,0.14355242252349854,0.7983630895614624,0.7087557315826416
0,0.158203125,1.6202579736709595,0.2053571492433548,1.6093591451644897
1,0.1995442658662796,1.6095929145812988,0.1994047611951828,1.60942804813385
2,0.2027994841337204,1.6106557846069336,0.212797611951828,1.603665828704834
3,0.3349609375,1.4171323776245117,0.4151785671710968,1.2115792036056519
4,0.46875,1.1265864372253418,0.5104166865348816,1.1215356588363647
5,0.5185546875,1.0211397409439087,0.5178571343421936,1.0299116373062134
6,0.6103515625,0.8414338231086731,0.6272321343421936,0.8862335681915283
7,0.685546875,0.7952694296836853,0.6465773582458496,0.8625823259353638
8,0.7444661259651184,0.6683368682861328,0.7127976417541504,0.7406670451164246
9,0.8053385615348816,0.5329601168632507,0.7313988208770752,0.7608142495155334
10,0.8225911259651184,0.5042039752006531,0.6711309552192688,1.030659556388855
11,0.853515625,0.42279767990112305,0.7098214030265808,0.8514506220817566
12,0.8824869990348816,0.3570338785648346,0.7641369104385376,0.7749760150909424
13,0.9055989384651184,0.2927137315273285,0.7745535969734192,0.7963988184928894
14,0.9039713740348816,0.2939271628856659,0.7552083134651184,0.7290488481521606
15,0.9137369990348816,0.27050483226776123,0.758184552192688,0.6922600865364075
16,0.9313151240348816,0.22488613426685333,0.71875,1.0528268814086914
17,0.9293619990348816,0.21886664628982544,0.7626488208770752,0.820173442363739
18,0.951171875,0.16697049140930176,0.7678571343421936,0.7948881983757019
19,0.9527994990348816,0.1599770337343216,0.741815447807312,0.9353650212287903
20,0.9524739384651184,0.15959474444389343,0.765625,0.8507208228111267
21,0.9580078125,0.1407749205827713,0.722470223903656,1.0467370748519897
22,0.9508463740348816,0.1551537960767746,0.7395833134651184,0.9497782588005066
23,0.9651692509651184,0.11724095791578293,0.7842261791229248,0.8767598271369934
24,0.9694010615348816,0.10911160707473755,0.7708333134651184,0.849533200263977
25,0.9606119990348816,0.12363869696855545,0.7589285969734192,0.9795132875442505
0,0.1533203125,1.6173869371414185,0.203125,1.6095021963119507
1,0.1982421875,1.604284644126892,0.200148805975914,1.4918696880340576
2,0.3981119692325592,1.3714011907577515,0.586309552192688,0.9772257208824158
3,0.5921223759651184,0.9588040709495544,0.5632440447807312,1.0046437978744507
4,0.6608073115348816,0.8038240075111389,0.65625,0.9576202630996704
5,0.734375,0.6690956950187683,0.6138392686843872,0.815246045589447
6,0.7998046875,0.5398502349853516,0.7328869104385376,0.7393699884414673
7,0.8333333134651184,0.4702654182910919,0.7604166865348816,0.7124227285385132
8,0.8610026240348816,0.42286017537117004,0.7671130895614624,0.7190361022949219
9,0.8889973759651184,0.3509901762008667,0.7604166865348816,0.7424274682998657
10,0.8759765625,0.37664687633514404,0.741815447807312,1.097517728805542
11,0.8902994990348816,0.3464851677417755,0.7313988208770752,0.8380159735679626
12,0.9195963740348816,0.2594592571258545,0.7782738208770752,0.7169690132141113
13,0.9169921875,0.26705312728881836,0.7909226417541504,0.7885574102401733
14,0.94140625,0.20127423107624054,0.7700892686843872,0.7599427103996277
15,0.9466145634651184,0.17978261411190033,0.7842261791229248,0.7986611127853394
16,0.9475911259651184,0.1757829189300537,0.7767857313156128,0.7848127484321594
17,0.9580078125,0.14532352983951569,0.7745535969734192,0.7809691429138184
0,0.26123595237731934,1.552440881729126,0.3948863744735718,1.3774235248565674
1,0.4796348214149475,1.1919344663619995,0.6008522510528564,1.0030828714370728
2,0.5772472023963928,1.0184707641601562,0.6264204382896423,0.9259635806083679
3,0.7082163095474243,0.8120574355125427,0.78125,0.7181877493858337
4,0.7977527976036072,0.6119452118873596,0.8011363744735718,0.5875335335731506
5,0.8697331547737122,0.40654629468917847,0.8153409361839294,0.5698240995407104
6,0.8841292262077332,0.3694945275783539,0.8366477489471436,0.5016983151435852
7,0.9055477380752563,0.3007986843585968,0.8863636255264282,0.3673587739467621
8,0.930126428604126,0.23077015578746796,0.9261363744735718,0.2375946193933487
9,0.9487359523773193,0.1764734834432602,0.9119318127632141,0.25262153148651123
10,0.9476825594902039,0.18523456156253815,0.9389204382896423,0.2112918496131897
11,0.9599719047546387,0.15049394965171814,0.9204545617103577,0.27899855375289917
12,0.9508426785469055,0.16178876161575317,0.8991477489471436,0.3410225212574005
13,0.9641854166984558,0.1272527426481247,0.9446022510528564,0.21672838926315308
14,0.9557584524154663,0.1550649255514145,0.9176136255264282,0.2709483504295349
15,0.9620786309242249,0.11542852967977524,0.8693181872367859,0.4514172375202179
16,0.9705055952072144,0.09238164871931076,0.9019886255264282,0.3275643289089203
17,0.9655898809432983,0.1138128787279129,0.9360795617103577,0.18861360847949982
18,0.9634831547737122,0.11528587341308594,0.9431818127632141,0.17395524680614471
19,0.9698033928871155,0.09987083077430725,0.9474431872367859,0.18618036806583405
20,0.9691011309623718,0.09031011909246445,0.9517045617103577,0.1815684735774994
21,0.9603230357170105,0.13391312956809998,0.9275568127632141,0.2695503532886505
22,0.9750702381134033,0.08812198787927628,0.9573863744735718,0.15455852448940277
23,0.9719101190567017,0.0909578874707222,0.9403409361839294,0.19636864960193634
24,0.9775280952453613,0.06659793108701706,0.9332386255264282,0.22880540788173676
25,0.973665714263916,0.07232220470905304,0.9488636255264282,0.1778096705675125
26,0.9733145833015442,0.07934032380580902,0.90625,0.3398481011390686
27,0.9561095237731934,0.13804173469543457,0.9644886255264282,0.14284978806972504
28,0.9750702381134033,0.06863921880722046,0.953125,0.19176064431667328
29,0.9701545238494873,0.0900101512670517,0.9332386255264282,0.24830128252506256
30,0.9715589880943298,0.08577055484056473,0.9488636255264282,0.18714536726474762
31,0.9722612500190735,0.08995869755744934,0.9431818127632141,0.19092851877212524
32,0.9698033928871155,0.08769851177930832,0.9332386255264282,0.23215194046497345
33,0.9582163095474243,0.13895511627197266,0.9261363744735718,0.2719671428203583
34,0.9768258333206177,0.06730597466230392,0.9559659361839294,0.17425768077373505
35,0.9813904762268066,0.053389742970466614,0.9630681872367859,0.1403256058692932
36,0.9803370833396912,0.05226542428135872,0.9644886255264282,0.14100508391857147
37,0.9803370833396912,0.050996389240026474,0.9644886255264282,0.13844692707061768
38,0.9792836904525757,0.049800995737314224,0.9630681872367859,0.1382126659154892
39,0.9792836904525757,0.049084942787885666,0.9616477489471436,0.13816986978054047
40,0.9810393452644348,0.04765529930591583,0.9630681872367859,0.14536012709140778
41,0.9792836904525757,0.04754781723022461,0.9630681872367859,0.1330786943435669
42,0.9803370833396912,0.0466272197663784,0.9602272510528564,0.16377459466457367
43,0.9659410119056702,0.1066180020570755,0.6818181872367859,1.2158401012420654
44,0.9227527976036072,0.2542055547237396,0.9303977489471436,0.25981128215789795
45,0.9571629166603088,0.1386142373085022,0.9204545617103577,0.23582500219345093
46,0.976123571395874,0.07684435695409775,0.953125,0.17686186730861664
47,0.9792836904525757,0.058749061077833176,0.9545454382896423,0.16387613117694855
48,0.9813904762268066,0.05096370354294777,0.9559659361839294,0.14936032891273499
49,0.9747191071510315,0.06036543473601341,0.9431818127632141,0.2226182520389557
50,0.971207857131958,0.08187895268201828,0.8664772510528564,0.5879352688789368
51,0.9571629166603088,0.13708963990211487,0.9375,0.24925532937049866
