epoch,accuracy,loss,val_accuracy,val_loss
0,0.3426966369152069,1.46657395362854,0.453125,1.2797033786773682
1,0.504915714263916,1.1493474245071411,0.5710227489471436,1.0468634366989136
2,0.5941011309623718,0.9935459494590759,0.5809659361839294,1.0102133750915527
3,0.6527387499809265,0.8659486174583435,0.7215909361839294,0.7007579207420349
4,0.7542135119438171,0.6557129621505737,0.7258522510528564,0.6830112338066101
5,0.8072331547737122,0.5177947878837585,0.828125,0.4842131733894348
6,0.8599016666412354,0.4020664691925049,0.8551136255264282,0.3930759131908417
7,0.8816713690757751,0.3550363779067993,0.8636363744735718,0.39333420991897583
8,0.896769642829895,0.31204289197921753,0.8892045617103577,0.3235016465187073
9,0.9108145833015442,0.2740435302257538,0.9019886255264282,0.2583673298358917
10,0.9346910119056702,0.21410180628299713,0.9090909361839294,0.29898470640182495
11,0.9213483333587646,0.24175341427326202,0.8948863744735718,0.3357859253883362
12,0.9248595237731934,0.2317156046628952,0.9133522510528564,0.3303002119064331
13,0.9357444047927856,0.20574863255023956,0.9417613744735718,0.1933431774377823
14,0.9385533928871155,0.19722245633602142,0.9247159361839294,0.28085261583328247
15,0.9536516666412354,0.15399682521820068,0.9602272510528564,0.16409233212471008
16,0.9596207737922668,0.14012426137924194,0.9460227489471436,0.1839839518070221
17,0.9620786309242249,0.12193846702575684,0.9474431872367859,0.1782694011926651
18,0.9680477380752563,0.10760512948036194,0.9488636255264282,0.19084054231643677
19,0.9771769642829895,0.0792042464017868,0.9588068127632141,0.14155153930187225
20,0.9733145833015442,0.0886157974600792,0.9303977489471436,0.21202798187732697
21,0.9676966071128845,0.10116055607795715,0.9545454382896423,0.15869496762752533
22,0.9680477380752563,0.11391621828079224,0.9502840638160706,0.17320671677589417
23,0.9589185118675232,0.1420956552028656,0.9403409361839294,0.1989620178937912
24,0.96875,0.10661545395851135,0.9488636255264282,0.18724703788757324
25,0.9729635119438171,0.09614719450473785,0.9616477489471436,0.15776854753494263
26,0.9708567261695862,0.099310502409935,0.9559659361839294,0.16134007275104523
27,0.9719101190567017,0.09241745620965958,0.9673295617103577,0.12281319499015808
28,0.9740168452262878,0.09236809611320496,0.9446022510528564,0.15129002928733826
29,0.9743679761886597,0.08981090039014816,0.9673295617103577,0.1181638166308403
30,0.9459269642829895,0.1652768850326538,0.953125,0.14347286522388458
31,0.9792836904525757,0.07248947024345398,0.9644886255264282,0.15443776547908783
32,0.9834972023963928,0.05839723348617554,0.9545454382896423,0.15558049082756042
33,0.9655898809432983,0.11337559670209885,0.9616477489471436,0.14717485010623932
34,0.971207857131958,0.08282610774040222,0.9659090638160706,0.15481282770633698
35,0.971207857131958,0.09030256420373917,0.9502840638160706,0.17454294860363007
36,0.9799859523773193,0.06498239934444427,0.9772727489471436,0.10286924988031387
37,0.9834972023963928,0.05701945722103119,0.9602272510528564,0.1348365992307663
38,0.9817415475845337,0.0584065206348896,0.9715909361839294,0.10111439228057861
39,0.9834972023963928,0.047382254153490067,0.9715909361839294,0.09201417118310928
40,0.9877106547355652,0.03754347562789917,0.9786931872367859,0.09589042514562607
41,0.9866573214530945,0.04138348996639252,0.9786931872367859,0.12214703112840652
42,0.9841994643211365,0.04545611888170242,0.9701704382896423,0.14723902940750122
43,0.9813904762268066,0.06134242191910744,0.9375,0.199040949344635
44,0.939957857131958,0.21027936041355133,0.9204545617103577,0.2689416706562042
45,0.9666432738304138,0.10982633382081985,0.9630681872367859,0.15317897498607635
46,0.9722612500190735,0.09454676508903503,0.9758522510528564,0.08741169422864914
47,0.9726123809814453,0.08781702816486359,0.9573863744735718,0.17528142035007477
48,0.9740168452262878,0.07800210267305374,0.9417613744735718,0.2369774878025055
49,0.9764747023582458,0.07068220525979996,0.9474431872367859,0.17204107344150543
50,0.9803370833396912,0.061300139874219894,0.9801136255264282,0.08492661267518997
51,0.9834972023963928,0.04609871283173561,0.9758522510528564,0.11467235535383224
52,0.9768258333206177,0.0692969411611557,0.953125,0.19194455444812775
53,0.9733145833015442,0.09076348692178726,0.9446022510528564,0.16500534117221832
54,0.980688214302063,0.05951421335339546,0.9630681872367859,0.12300252914428711
55,0.9813904762268066,0.058068059384822845,0.9403409361839294,0.2628842294216156
56,0.9659410119056702,0.11211507767438889,0.9644886255264282,0.12164304405450821
57,0.9719101190567017,0.08624430745840073,0.9644886255264282,0.1302320659160614
58,0.9778792262077332,0.06838522851467133,0.9644886255264282,0.11441352963447571
59,0.9827949404716492,0.055623482912778854,0.96875,0.09754110127687454
60,0.9820926785469055,0.053180042654275894,0.9644886255264282,0.12333302199840546
